랭킹,시도,시군구,N_전력가용량,전력_점수,전력가용량_신규,전력가용량_신규,N_지진,N_홍수,N_산사태,N_해안,N_산불,재해_점수,N_취수여유율,N_냉각일수,냉각_점수,N_발전량,N_접근성,신재생_점수,네트워크_점수,종합_점수
51,광주,동구,0.8689655172413793,86.9,4008600.0,4008600.0,0.6551724137931034,0.9379310344827586,0.7,0.596551724137931,0.3413793103448276,69.3,0.2482758620689655,0.42758620689655175,32.0,0.0896551724137931,0.45517241379310347,16.28,35.03,55.68
52,경남,진주시,0.7241379310344828,72.41,2144625.0,2144625.0,0.296551724137931,0.696551724137931,0.13793103448275862,0.596551724137931,0.4827586206896552,42.72,0.5241379310344828,0.503448275862069,51.59,0.4896551724137931,0.503448275862069,49.24,31.21,55.614
53,전북,부안군,0.4,40.0,672750.0,672750.0,0.2,0.603448275862069,0.593103448275862,0.14482758620689656,0.8620689655172413,45.63,0.9655172413793104,0.5862068965517241,81.38,0.696551724137931,0.5862068965517241,67.45,52.87,55.536
54,충남,서산시,0.1310344827586207,13.1,0.0,0.0,0.7724137931034483,0.603448275862069,0.3896551724137931,0.596551724137931,0.13793103448275862,55.47,0.7896551724137931,0.7517241379310344,77.45,0.9724137931034482,0.9586206896551724,96.97,97.45,55.435
55,충북,증평군,0.7379310344827587,73.79,2413800.0,2413800.0,0.19310344827586207,0.9379310344827586,0.6448275862068965,0.596551724137931,0.7379310344827587,59.09,0.29310344827586204,0.45517241379310347,35.79,0.18620689655172415,0.7724137931034483,30.34,90.45,55.395
56,충북,옥천군,0.7034482758620689,70.34,1960000.0,1960000.0,0.27586206896551724,0.15172413793103448,0.46206896551724136,0.596551724137931,0.15172413793103448,30.44,0.4896551724137931,0.6793103448275862,56.55,0.45517241379310347,0.5241379310344828,46.9,74.52,55.125
57,울산,동구,0.8827586206896552,88.28,4323000.0,4323000.0,0.5655172413793104,0.8620689655172413,0.8862068965517241,0.596551724137931,0.3413793103448276,68.36,0.32068965517241377,0.17586206896551723,26.28,0.027586206896551724,0.9724137931034482,21.66,15.92,54.951
58,전북,전주시,0.5,50.0,853812.5,853812.5,0.12413793103448276,0.4103448275862069,0.9517241379310345,0.596551724137931,0.8137931034482758,50.35,0.6482758620689655,0.15862068965517243,45.24,0.8275862068965517,0.4,74.21,60.51,54.485
59,광주,남구,0.8,80.0,2887875.0,2887875.0,0.7310344827586207,0.6517241379310345,0.7448275862068966,0.596551724137931,0.7172413793103448,69.54,0.2482758620689655,0.42758620689655175,32.0,0.12413793103448276,0.6344827586206897,22.62,32.48,54.456
60,충남,태안군,0.1310344827586207,13.1,0.0,0.0,0.8551724137931035,0.8620689655172413,0.593103448275862,0.14482758620689656,0.5862068965517241,68.7,0.7896551724137931,0.4896551724137931,66.97,0.9655172413793104,0.6896551724137931,91.03,82.8,54.067
61,경북,영주시,0.5517241379310345,55.17,995100.0,995100.0,0.6413793103448275,0.4103448275862069,0.11379310344827587,0.596551724137931,0.1103448275862069,40.67,0.38620689655172413,0.8689655172413793,57.93,0.6413793103448275,0.21379310344827587,55.59,68.79,53.587
62,경남,김해시,0.8620689655172413,86.21,4002750.0,4002750.0,0.22758620689655173,0.5793103448275863,0.4862068965517241,0.596551724137931,0.18620689655172415,41.01,0.1724137931034483,0.22758620689655173,19.45,0.4482758620689655,0.6275862068965518,48.41,23.57,53.125
63,경남,창녕군,0.7310344827586207,73.1,2279000.0,2279000.0,0.020689655172413793,0.10344827586206896,0.7137931034482758,0.596551724137931,0.47586206896551725,30.46,0.9172413793103448,0.20689655172413793,63.31,0.3586206896551724,0.2689655172413793,34.07,33.12,52.809
64,경북,의성군,0.4413793103448276,44.14,722675.0,722675.0,0.1724137931034483,0.020689655172413793,0.4379310344827586,0.596551724137931,0.006896551724137931,21.71,0.9448275862068966,0.7103448275862069,85.1,0.7931034482758621,0.08275862068965517,65.1,58.6,52.762
65,부산,강서구,0.45517241379310347,45.52,787500.0,787500.0,0.7931034482758621,0.4103448275862069,0.6275862068965518,0.596551724137931,0.5517241379310345,60.79,0.8655172413793103,0.10689655172413794,56.21,0.6758620689655173,0.5103448275862069,64.28,9.55,52.664
66,경북,김천시,0.6758620689655173,67.59,1813650.0,1813650.0,0.13793103448275862,0.20689655172413793,0.12413793103448276,0.596551724137931,0.42758620689655175,24.29,0.2689655172413793,0.6689655172413793,42.9,0.7517241379310344,0.09655172413793103,62.07,57.96,52.404
67,강원,동해시,0.5862068965517241,58.62,1299925.0,1299925.0,0.3586206896551724,0.09655172413793103,0.7586206896551724,0.04827586206896552,0.6,36.22,0.3793103448275862,0.013793103448275862,23.31,0.8,0.9448275862068966,82.9,64.33,52.219
